obs_time,location,obs
2023-05-09 07:00:00,120,
2023-05-09 08:00:00,120,
2023-05-09 09:00:00,120,
2023-05-09 11:00:00,120,
2023-05-09 13:00:00,120,
2023-05-09 14:00:00,120,
2023-05-09 15:00:00,120,
2023-05-09 16:00:00,120,
2023-05-09 17:00:00,120,
2023-05-09 18:00:00,120,
2023-05-09 19:00:00,120,
2023-05-09 20:00:00,120,
2023-05-09 21:00:00,120,
2023-05-09 22:00:00,120,
2023-05-09 23:00:00,120,
2023-05-10 00:00:00,120,
2023-05-10 01:00:00,120,
2023-05-10 02:00:00,120,
2023-05-10 03:00:00,120,
2023-05-10 04:00:00,120,
2023-05-10 05:00:00,120,
2023-05-10 07:00:00,120,
2023-05-10 08:00:00,120,
2023-05-10 09:00:00,120,
2023-05-10 10:00:00,120,
2023-05-10 11:00:00,120,
2023-05-10 12:00:00,120,
2023-05-10 13:00:00,120,
2023-05-10 14:00:00,120,
2023-05-10 15:00:00,120,
2023-05-10 16:00:00,120,
2023-05-10 17:00:00,120,
2023-05-10 18:00:00,120,
2023-05-10 19:00:00,120,
2023-05-10 20:00:00,120,
2023-05-10 21:00:00,120,
2023-05-10 22:00:00,120,
2023-05-10 23:00:00,120,
2023-05-11 00:00:00,120,
2023-05-11 01:00:00,120,
2023-05-11 02:00:00,120,
2023-05-11 03:00:00,120,
2023-05-11 04:00:00,120,
2023-05-11 05:00:00,120,
2023-05-11 06:00:00,120,
2023-05-11 07:00:00,120,
2023-05-11 08:00:00,120,
2023-05-11 09:00:00,120,
2023-05-11 10:00:00,120,
2023-05-11 11:00:00,120,
2023-05-11 12:00:00,120,
2023-05-11 13:00:00,120,
2023-05-11 14:00:00,120,
2023-05-11 15:00:00,120,
2023-05-11 16:00:00,120,
2023-05-11 17:00:00,120,
2023-05-11 18:00:00,120,
2023-05-11 19:00:00,120,
2023-05-11 20:00:00,120,
2023-05-11 21:00:00,120,
2023-05-11 22:00:00,120,20.8
2023-05-11 23:00:00,120,22.1
2023-05-12 00:00:00,120,19.8
2023-05-12 01:00:00,120,17.9
2023-05-12 02:00:00,120,16.2
2023-05-12 03:00:00,120,14.1
2023-05-12 04:00:00,120,11.4
2023-05-12 05:00:00,120,12.2
2023-05-12 06:00:00,120,10.0
2023-05-12 07:00:00,120,8.5
2023-05-12 08:00:00,120,7.6
2023-05-12 09:00:00,120,4.2
2023-05-12 10:00:00,120,5.3
2023-05-12 11:00:00,120,3.0
2023-05-12 12:00:00,120,4.5
2023-05-12 13:00:00,120,10.4
2023-05-12 14:00:00,120,12.8
2023-05-12 15:00:00,120,15.8
2023-05-12 16:00:00,120,19.2
2023-05-12 17:00:00,120,22.7
2023-05-12 18:00:00,120,23.3
2023-05-12 19:00:00,120,25.0
2023-05-12 20:00:00,120,24.6
2023-05-12 21:00:00,120,25.2
2023-05-12 22:00:00,120,25.6
2023-05-12 23:00:00,120,25.7
2023-05-13 00:00:00,120,24.4
2023-05-13 01:00:00,120,24.4
2023-05-13 02:00:00,120,22.1
2023-05-13 03:00:00,120,18.4
2023-05-13 04:00:00,120,16.4
2023-05-13 05:00:00,120,14.3
2023-05-13 06:00:00,120,12.9
2023-05-13 07:00:00,120,11.9
2023-05-13 08:00:00,120,11.4
2023-05-13 09:00:00,120,9.8
2023-05-13 10:00:00,120,8.5
2023-05-13 11:00:00,120,7.1
2023-05-13 12:00:00,120,9.3
2023-05-13 13:00:00,120,12.8
2023-05-13 14:00:00,120,14.0
2023-05-13 15:00:00,120,18.2
2023-05-13 16:00:00,120,21.4
2023-05-13 17:00:00,120,24.2
2023-05-13 18:00:00,120,24.0
2023-05-13 19:00:00,120,24.0
2023-05-13 20:00:00,120,24.0
2023-05-13 21:00:00,120,25.0
2023-05-13 22:00:00,120,27.7
2023-05-13 23:00:00,120,26.0
2023-05-14 00:00:00,120,23.8
2023-05-14 01:00:00,120,24.1
2023-05-14 02:00:00,120,21.7
2023-05-14 03:00:00,120,19.0
2023-05-14 04:00:00,120,15.7
2023-05-14 05:00:00,120,13.8
2023-05-14 06:00:00,120,12.0
2023-05-14 07:00:00,120,11.5
2023-05-14 08:00:00,120,11.4
2023-05-14 09:00:00,120,9.9
2023-05-14 10:00:00,120,9.2
2023-05-14 11:00:00,120,9.2
2023-05-14 12:00:00,120,9.7
2023-05-14 13:00:00,120,14.9
2023-05-14 14:00:00,120,18.9
2023-05-14 15:00:00,120,21.3
2023-05-14 16:00:00,120,23.9
2023-05-14 17:00:00,120,25.5
2023-05-14 18:00:00,120,26.9
2023-05-14 19:00:00,120,28.8
2023-05-14 20:00:00,120,29.1
2023-05-14 21:00:00,120,29.9
2023-05-14 22:00:00,120,30.5
2023-05-14 23:00:00,120,30.0
2023-05-15 00:00:00,120,30.4
2023-05-15 01:00:00,120,28.8
2023-05-15 02:00:00,120,22.4
2023-05-15 03:00:00,120,19.2
2023-05-15 04:00:00,120,15.6
2023-05-15 05:00:00,120,13.8
2023-05-15 06:00:00,120,12.9
2023-05-15 07:00:00,120,12.8
2023-05-15 08:00:00,120,12.8
2023-05-15 09:00:00,120,11.6
2023-05-15 10:00:00,120,10.6
2023-05-15 11:00:00,120,8.6
2023-05-15 12:00:00,120,9.0
2023-05-15 13:00:00,120,10.9
2023-05-15 14:00:00,120,15.4
2023-05-15 15:00:00,120,18.8
2023-05-15 16:00:00,120,22.6
2023-05-15 17:00:00,120,21.0
2023-05-15 18:00:00,120,21.0
2023-05-15 19:00:00,120,19.9
2023-05-15 20:00:00,120,18.4
2023-05-15 21:00:00,120,17.2
2023-05-15 22:00:00,120,16.0
2023-05-15 23:00:00,120,15.8
2023-05-16 00:00:00,120,15.6
2023-05-16 01:00:00,120,16.0
2023-05-16 02:00:00,120,15.0
2023-05-16 03:00:00,120,13.5
2023-05-16 04:00:00,120,12.0
2023-05-16 05:00:00,120,10.3
2023-05-16 06:00:00,120,9.4
2023-05-16 07:00:00,120,9.5
2023-05-16 08:00:00,120,9.1
2023-05-16 09:00:00,120,11.3
2023-05-16 10:00:00,120,10.8
2023-05-16 11:00:00,120,9.1
2023-05-16 12:00:00,120,8.0
2023-05-16 13:00:00,120,8.6
2023-05-16 14:00:00,120,10.8
2023-05-16 15:00:00,120,12.6
2023-05-16 16:00:00,120,14.2
